Year,Region,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
2001,Africa,53.98099004489796,25.549999999999997,14644.285714285714,4.870238485869565,4.0168526813846155,9.794291608124999,,15.628520514434783,674993.2095918367,8976991.994693877,2452227.921632653
2001,Asia,69.45431377702702,15.399999999999999,204834.05405405405,4.622819716857143,4.023415270380953,5.832972969702703,,48.97816451358333,3957340.488378378,13685589.30810811,18480912.21891892
2001,Europe,75.46026287305556,3.222857142857143,116514.5945945946,7.092250328157895,5.019495377153846,10.290944493027778,,68.94009183297298,535329.728974359,245042.6964102564,4105830.4825641024
2001,North America,72.61186062714286,13.129411764705882,354898.94736842107,6.1513469852631575,4.8756520033,7.21258825417647,,53.895411255,777810.4681818183,893561.0063636363,5064925.222727273
2001,Oceania,69.672282927,8.0,29440.76923076923,8.401900932307692,7.021988562,5.018888831333333,,39.39022191733333,69747.445,125627.288125,414694.2525
2001,South America,70.99081818181818,11.69090909090909,56597.27272727273,5.988391681818182,4.350864308285714,9.918909006636364,,34.06905168555556,1536135.746363636,2159916.652727273,5661713.448181818
2002,Africa,54.21793180693878,24.927777777777777,14866.326676156326,4.988525748695652,3.819801147076923,9.885520817249999,,16.086998097,690580.3816326531,8978988.91877551,2505214.105510204
2002,Asia,69.79056361216216,14.770967741935483,216492.4345907135,4.818962564444444,4.109617367913043,5.92321625245946,,50.40283727152,3854637.9224324324,13285605.923513513,18745344.844324324
2002,Europe,75.58254878027778,3.1342857142857143,116187.02620241622,7.34967812763158,4.9680996394137935,10.34477778275,,69.37351038108108,527829.2030769231,240447.5564102564,4126779.383846154
2002,North America,73.03309201772727,12.847058823529412,348187.88212671055,6.325235103157895,4.508605003333334,7.319411739823529,,53.956545129999995,769647.6145454545,874211.2309090908,5133955.364090909
2002,Oceania,69.917392683,8.05,30036.922761185077,8.05370749,6.311742748285714,4.794777843555555,,39.61187938766667,70236.32875,129970.133125,420909.05062500003
2002,South America,71.28327272727273,11.7,55670.00094472727,6.067127205454545,4.129136234625,10.440454526636364,,34.614540696666666,1587146.6336363635,2107108.4727272727,5790340.153636363
2003,Africa,54.58221105020408,24.355555555555554,15669.387701883674,5.223524617391305,4.344230869608696,9.8667500935625,,16.564512715217393,698551.456122449,8975159.537142858,2554968.484489796
2003,Asia,70.11885959135135,13.96774193548387,236196.2197125108,4.685664324594595,4.013725795210526,5.879486484864865,,50.94183905719999,3829248.81,12873454.62135135,18975746.23054054
2003,Europe,75.75579945861111,3.06,119835.13475460542,7.5583765123684215,5.213503846692307,10.572388861194444,,69.80685177864865,516079.47461538465,239354.67307692306,4134692.6243589744
2003,North America,73.11425203238095,13.123529411764705,353831.0638703948,6.356826418421053,4.322890721923077,7.4022351989411765,,54.29247307,777400.8300000001,857056.6399999999,5200562.4363636365
2003,Oceania,70.166336585,8.1,30169.99907821277,7.573413848461538,7.7145876895,4.522000007888889,,39.836151087,70515.5125,134261.29875000002,425770.3625
2003,South America,71.57409090909091,11.736363636363636,56087.27292236364,6.0404097181818175,3.881188563,9.637999990454546,,35.15696604111111,1508195.399090909,2060276.7618181817,5886826.768181819
2004,Africa,55.06715978102041,23.541666666666668,16414.285551416328,5.442196181956522,4.036220699464286,9.590187548291667,,17.041071062,702683.906122449,8901016.457755102,2606623.0614285716
2004,Asia,70.46115754756757,13.206451612903225,260614.32038434324,4.703276492162162,3.7568992468461535,5.847378339405405,,51.53266653519999,4190651.7981081083,12529837.762702702,19212620.722432435
2004,Europe,76.18108536555556,3.0285714285714285,119606.48734328109,7.623355978684211,4.876758690633333,10.676027788388888,,70.38010012513513,504927.9682051283,235580.1905128205,4118303.8756410256
2004,North America,73.33235191666667,13.200000000000001,358076.3173430105,6.400629432105263,5.064104989375,7.099411803176471,,54.63163289625,796129.8068181818,837161.3472727273,5233399.957727272
2004,Oceania,70.409202439,8.1875,31250.769044902,7.631252143076923,5.544986645333334,4.0144444174444445,,40.060682082666666,70847.945625,137958.621875,431345.83249999996
2004,South America,71.8629090909091,11.527272727272727,60034.54505372727,5.948416295454546,3.61487373725,8.907272664272726,,35.85105375222222,1494174.2018181817,2003993.1772727272,5973403.120909091
2005,Africa,55.593038825306124,22.61388888888889,16747.142875051224,5.374152523043478,4.331665873586207,9.498166619708334,2.7941176470588234,17.51825700321739,684951.5342857143,8778123.791632654,2658199.315102041
2005,Asia,70.75742122594595,12.422580645161291,282947.8328816054,4.63306320027027,3.641478149962963,5.82613519245946,2.78125,52.130492302,3983727.5959459455,12210797.471891893,19518807.17135135
2005,Europe,76.31805284555556,2.9085714285714284,118656.2154257919,7.666697118684211,5.1983811015925925,10.35063883336111,3.0,70.9709267127027,495912.13692307693,237479.50615384616,4131466.052051282
2005,North America,73.50048896619049,12.899999999999999,360807.90874629474,6.441448964736843,5.088862862571429,7.045882393764706,3.3,54.93397516875,805751.484090909,824890.3918181818,5317599.075454545
2005,Oceania,70.50472283727272,8.025,31679.999662613536,8.310620123846153,5.448180039666667,3.714111129666667,3.0833333333333335,40.54445797383333,72055.410625,139245.155625,437725.39187500003
2005,South America,72.14890909090909,11.154545454545454,61194.54628454545,5.966504269090908,4.188060079142857,8.174545548090908,3.0,36.50335716,1465550.781818182,1948276.291818182,6020177.734545454
2006,Africa,56.2057809855102,21.700000000000003,16907.3469488349,5.349564904347826,4.191021734275862,9.309854115166667,2.764705882352941,17.993505325391304,680314.471632653,8604202.332040817,2715924.112244898
